First Name,Last Name,Team,Birth Date,position,ID,GP,GS,W,L,OTL,SO,GAA,GA,SA,SV,SV%,ESGA,ESSV%,ESSV,EVSA,PPGA,PPSV%,PPSV,PPSA,SHGA,SHSV%,SHSV,SHSA
Anders,Nilsson,EDM/ STL,1990-03-19,G,8475195,29,24,10,13,2,0,3.1187,78,789,711,0.9011,57,0.9125,595,652,17,0.8521,98,115,4,0.8181,18,22
Robin,Lehner,BUF,1991-07-24,G,8475215,21,21,5,9,5,1,2.474,48,634,586,0.9242,40,0.923,480,520,7,0.93,93,100,1,0.9285,13,14
Darcy,Kuemper,MIN,1990-05-05,G,8475311,21,16,6,7,5,2,2.4261,43,507,464,0.9151,36,0.9162,394,430,5,0.9193,57,62,2,0.8666,13,15
Cam,Talbot,EDM,1987-07-05,G,8475660,56,53,21,27,5,3,2.5505,137,1648,1511,0.9168,107,0.92,1232,1339,29,0.8929,242,271,1,0.9736,37,38
Eddie,Lack,CAR,1988-01-05,G,8475663,34,31,12,14,6,2,2.8123,90,910,820,0.901,78,0.9032,728,806,10,0.8795,73,83,2,0.9047,19,21
Sergei,Bobrovsky,CBJ,1988-09-20,G,8475683,37,37,15,19,1,1,2.75,97,1049,952,0.9075,71,0.9161,776,847,23,0.867,150,173,3,0.8965,26,29
Calvin,Pickard,COL,1992-04-15,G,8475717,20,13,7,6,1,1,2.5572,42,539,497,0.922,34,0.9229,407,441,7,0.9186,79,86,1,0.9166,11,12
Philipp,Grubauer,WSH,1991-11-25,G,8475831,22,16,8,9,1,0,2.3221,43,523,480,0.9177,34,0.9196,389,423,7,0.9195,80,87,2,0.8461,11,13
Louis,Domingue,ARI,1992-03-06,G,8475839,39,36,15,18,5,2,2.7469,101,1142,1041,0.9115,69,0.9252,854,923,27,0.8483,151,178,5,0.878,36,41
Petr,Mrazek,DET,1992-02-14,G,8475852,54,49,27,16,6,4,2.3306,115,1448,1333,0.9205,84,0.929,1100,1184,29,0.8744,202,231,2,0.9393,31,33
Frederik,Andersen,ANA,1989-10-02,G,8475883,43,37,22,9,7,3,2.2977,88,1086,998,0.9189,63,0.9281,814,877,22,0.8823,165,187,3,0.8636,19,22
Keith,Kinkaid,NJD,1989-07-04,G,8476234,23,20,9,9,1,2,2.8054,58,605,547,0.9041,45,0.9077,443,488,12,0.8857,93,105,1,0.9166,11,12
John,Gibson,ANA,1993-07-14,G,8476434,40,38,21,13,4,4,2.0656,79,992,913,0.9203,66,0.9177,736,802,13,0.9269,165,178,0,1.0,12,12
Andrei,Vasilevskiy,TBL,1994-07-25,G,8476883,24,21,11,10,0,1,2.7649,58,646,588,0.9102,40,0.9214,469,509,16,0.8655,103,119,2,0.8888,16,18
Joonas,Korpisalo,CBJ,1994-04-28,G,8476914,31,30,16,11,4,0,2.5956,78,969,891,0.9195,56,0.9313,760,816,19,0.8538,111,130,3,0.8695,20,23
Connor,Hellebuyck,WPG,1993-05-19,G,8476945,26,26,13,11,1,2,2.3439,56,683,627,0.918,35,0.9373,524,559,20,0.826,95,115,1,0.8888,8,9
Linus,Ullmark,BUF,1993-07-31,G,8476999,20,20,8,10,2,0,2.6002,49,565,516,0.9132,39,0.9224,464,503,7,0.8653,45,52,3,0.7,7,10
Andrew,Hammond,OTT,1988-02-11,G,8477202,24,21,7,11,4,1,2.6477,61,712,651,0.9143,38,0.9363,559,597,22,0.7904,83,105,1,0.9,9,10
Mike,Condon,MTL,1990-04-27,G,8477237,55,51,21,25,6,1,2.7091,141,1458,1317,0.9032,108,0.9102,1096,1204,29,0.8638,184,213,4,0.9024,37,41
Antti,Raanta,NYR,1989-05-12,G,8477293,25,18,11,6,2,1,2.2427,43,530,487,0.9188,36,0.9198,413,449,7,0.8923,58,65,0,1.0,16,16
