First Name,Last Name,Team,Birth Date,position,ID,GP,GS,W,L,OTL,SO,GAA,GA,SA,SV,SV%,ESGA,ESSV%,ESSV,EVSA,PPGA,PPSV%,PPSV,PPSA,SHGA,SHSV%,SHSV,SHSA
Michael,Hutchinson,WPG,1990-03-02,G,8474636,28,20,9,12,3,1,2.9165,67,690,623,0.9028,47,0.9143,502,549,18,0.8487,101,119,2,0.909,20,22
Braden,Holtby,WSH,1989-09-16,G,8474651,63,63,42,13,6,9,2.0705,127,1690,1563,0.9248,95,0.9346,1358,1453,30,0.8477,167,197,2,0.95,38,40
Martin,Jones,SJS,1990-01-10,G,8474889,65,65,35,23,6,2,2.3997,152,1725,1573,0.9118,118,0.9157,1283,1401,32,0.884,244,276,2,0.9583,46,48
Anders,Nilsson,BUF,1990-03-19,G,8475195,26,23,10,10,4,1,2.668,66,857,791,0.9229,46,0.9327,638,684,20,0.8734,138,158,0,1.0,15,15
Robin,Lehner,BUF,1991-07-24,G,8475215,59,58,23,26,8,2,2.678,152,1910,1758,0.9204,117,0.9254,1453,1570,32,0.8911,262,294,3,0.9347,43,46
Carter,Hutton,STL,1985-12-19,G,8475622,30,21,13,8,2,4,2.3851,58,663,605,0.9125,44,0.9179,492,536,13,0.8839,99,112,1,0.9333,14,15
Cam,Talbot,EDM,1987-07-05,G,8475660,73,73,42,22,8,7,2.3893,171,2117,1946,0.9192,129,0.9266,1630,1759,39,0.8769,278,317,3,0.9268,38,41
Eddie,Lack,CAR,1988-01-05,G,8475663,20,18,8,7,3,1,2.6425,48,492,444,0.9024,38,0.9136,402,440,9,0.8,36,45,1,0.8571,6,7
Sergei,Bobrovsky,CBJ,1988-09-20,G,8475683,63,63,41,17,5,7,2.0555,127,1854,1727,0.9314,97,0.9375,1456,1553,29,0.8905,236,265,1,0.9722,35,36
Calvin,Pickard,COL,1992-04-15,G,8475717,50,48,15,31,2,2,2.9784,140,1461,1321,0.9041,104,0.9144,1112,1216,35,0.8341,176,211,1,0.9705,33,34
Philipp,Grubauer,WSH,1991-11-25,G,8475831,24,19,13,6,2,3,2.0402,43,585,542,0.9264,29,0.9373,434,463,13,0.8828,98,111,1,0.909,10,11
Louis,Domingue,ARI,1992-03-06,G,8475839,31,26,11,15,1,0,3.0775,82,888,806,0.9076,58,0.9204,671,729,23,0.8345,116,139,1,0.95,19,20
Petr,Mrazek,DET,1992-02-14,G,8475852,50,44,18,21,9,1,3.0446,145,1462,1317,0.9008,109,0.911,1116,1225,31,0.853,180,211,5,0.8076,21,26
Frederik,Andersen,TOR,1989-10-02,G,8475883,66,66,33,16,14,4,2.6688,169,2052,1883,0.9176,133,0.9219,1571,1704,31,0.8941,262,293,5,0.909,50,55
Keith,Kinkaid,NJD,1989-07-04,G,8476234,26,23,8,13,3,1,2.6421,65,778,713,0.9164,44,0.9288,574,618,18,0.8741,125,143,3,0.8235,14,17
John,Gibson,ANA,1993-07-14,G,8476434,52,49,25,16,9,6,2.2166,109,1437,1328,0.9241,83,0.928,1070,1153,23,0.9087,229,252,3,0.9062,29,32
Andrei,Vasilevskiy,TBL,1994-07-25,G,8476883,50,47,23,17,7,2,2.6066,123,1480,1357,0.9168,94,0.9216,1105,1199,26,0.8947,221,247,3,0.9117,31,34
Matt,Murray,PIT,1994-05-25,G,8476899,49,47,32,10,4,4,2.4079,111,1450,1339,0.9234,80,0.9324,1105,1185,25,0.8792,182,207,6,0.8965,52,58
Connor,Hellebuyck,WPG,1993-05-19,G,8476945,56,53,26,19,4,4,2.8877,146,1572,1426,0.9071,104,0.9173,1155,1259,38,0.8587,231,269,4,0.909,40,44
Aaron,Dell,SJS,1989-05-04,G,8477180,20,17,11,6,1,1,1.999,37,533,496,0.9305,25,0.9462,440,465,9,0.8392,47,56,3,0.75,9,12
Mike,Condon,PIT/ OTT,1990-04-27,G,8477237,41,38,19,14,6,5,2.478,96,1122,1026,0.9144,77,0.9153,833,910,19,0.8901,154,173,0,1.0,39,39
Antti,Raanta,NYR,1989-05-12,G,8477293,30,26,16,8,2,4,2.2629,61,782,721,0.9219,43,0.9344,613,656,18,0.8392,94,112,0,1.0,14,14
Juuse,Saros,NSH,1995-04-19,G,8477424,21,19,10,8,3,1,2.3501,47,614,567,0.9234,40,0.9221,474,514,7,0.9195,80,87,0,1.0,13,13
