Value,First Name,Last Name,Age,Team,Position,G,A,PPP,+/-,SOG,HITS
40.17,Brett,Pesce,24,Carolina Hurricanes,D,9,19,4,6,125,75
39.83,Duncan,Keith,35,Chicago Blackhawks,D,3,34,9,2,163,43
39.29,Marc-Edouard,Vlasic,31,San Jose Sharks,D,8,24,5,4,157,36
39.22,Matt,Niskanen,32,Washington Capitals,D,6,25,5,-2,143,138
38.67,Vince,Dunn,22,St. Louis Blues,D,8,23,9,0,163,42
38.2,Brayden,McNabb,27,Vegas Golden Knights,D,5,11,0,5,98,219
37.97,Kevan,Miller,31,Boston Bruins,D,2,14,0,13,75,178
37.68,Robert,Hagg,23,Philadelphia Flyers,D,4,11,0,0,122,257
37.36,Dylan,DeMelo,25,Ottawa Senators,D,4,22,4,9,96,98
36.42,Dmitry,Orlov,27,Washington Capitals,D,8,22,5,-3,132,123
36.07,Mike,Matheson,24,Florida Panthers,D,9,17,4,0,172,63
36.03,TJ,Brodie,28,Calgary Flames,D,6,33,9,1,120,30
35.98,Brady,Skjei,24,New York Rangers,D,6,24,6,-5,147,134
35.87,Neal,Pionk,23,New York Rangers,D,3,31,12,-10,166,127
35.67,Shea,Theodore,23,Vegas Golden Knights,D,8,26,9,-7,193,45
35.56,Zdeno,Chara,41,Boston Bruins,D,4,14,0,7,130,137
35.53,Matt,Grzelcyk,24,Boston Bruins,D,4,20,6,8,117,64
35.1,Samuel,Girard,20,Colorado Avalanche,D,5,25,10,2,115,60
34.93,David,Savard,28,Columbus Blue Jackets,D,5,17,1,2,144,136
34.87,Jakob,Chychrun,20,Arizona Coyotes,D,7,18,5,-2,152,109
34.76,Brian,Dumoulin,27,Pittsburgh Penguins,D,5,18,2,7,108,105
34.46,Ian,Cole,29,Colorado Avalanche,D,4,18,2,8,97,116
34.11,Tony,DeAngelo,23,New York Rangers,D,4,21,9,0,150,76
33.8,Markus,Nutivaara,24,Columbus Blue Jackets,D,6,22,4,4,126,62
33.57,Mike,Green,33,Detroit Red Wings,D,7,23,9,-4,134,83
33.44,Nick,Leddy,27,New York Islanders,D,8,31,12,-13,147,92
32.32,Calvin,de Haan,27,Carolina Hurricanes,D,4,16,3,4,118,120
32.09,Travis,Dermott,22,Toronto Maple Leafs,D,3,24,5,0,131,107
31.7,Alexander,Petrovic,26,Florida Panthers,D,2,17,1,5,89,171
31.55,Derrick,Pouliot,24,Vancouver Canucks,D,3,23,6,3,101,98
31.4,Justin,Braun,31,San Jose Sharks,D,4,20,1,3,111,126
31.28,Michael,Del Zotto,28,Vancouver Canucks,D,4,15,2,-4,122,207
31.24,Stephen,Johns,26,Dallas Stars,D,5,10,0,0,123,188
31.18,John,Moore,28,Boston Bruins,D,5,13,1,2,140,125
30.42,Johnny,Boychuk,34,New York Islanders,D,4,13,1,-3,176,148
30.38,Nikita,Zadorov,23,Colorado Avalanche,D,3,17,2,-7,110,248
30.17,Steven,Santini,23,New Jersey Devils,D,3,12,1,-2,124,208
30.08,Anton,Stralman,32,Tampa Bay Lightning,D,6,17,3,0,121,109
30.08,Nate,Schmidt,27,Vegas Golden Knights,D,5,22,7,3,104,52
29.75,Matt,Benning,24,Edmonton Oilers,D,5,17,3,-3,125,148
29.43,Mark,Borowiecki,29,Ottawa Senators,D,0,6,0,-3,87,328
29.25,Jake,McCabe,25,Buffalo Sabres,D,5,16,2,1,91,148
29.09,Jamie,Oleksiak,26,Pittsburgh Penguins,D,4,12,1,0,105,183
28.56,Trevor,van Riemsdyk,27,Carolina Hurricanes,D,5,14,2,9,108,45
28.44,Brandon,Carlo,22,Boston Bruins,D,5,12,1,6,98,105
28.25,Brenden,Dillon,28,San Jose Sharks,D,4,13,1,0,95,181
27.77,Brad,Hunt,30,Vegas Golden Knights,D,3,20,10,1,128,40
27.75,Jordan,Oesterle,26,Arizona Coyotes,D,5,18,4,-2,139,91
27.72,Connor,Murphy,25,Chicago Blackhawks,D,4,15,2,1,105,137
27.68,Joakim,Ryan,25,San Jose Sharks,D,4,15,1,9,105,56
27.08,Alec,Martinez,31,Los Angeles Kings,D,7,20,7,-8,119,113
26.96,Jake,Dotchin,24,Anaheim Ducks,D,2,16,2,3,95,140
26.54,Jason,Demers,30,Arizona Coyotes,D,5,17,3,1,112,88
26.47,Michael,Stone,28,Calgary Flames,D,2,19,2,2,109,117
26.45,Greg,Pateryn,28,Minnesota Wild,D,2,13,0,3,100,160
26.28,Joe,Morrow,26,Winnipeg Jets,D,4,15,4,-1,124,110
26.06,Nick,Holden,31,Vegas Golden Knights,D,3,14,0,3,89,150
25.8,Troy,Stecher,24,Vancouver Canucks,D,3,18,3,-1,123,113
25.65,Brandon,Manning,28,Chicago Blackhawks,D,6,13,1,-3,122,135
25.48,Tim,Heed,27,San Jose Sharks,D,5,18,7,0,134,30
25.22,Thomas,Hickey,29,New York Islanders,D,3,16,1,5,100,91
24.9,Connor,Carrick,24,Dallas Stars,D,6,14,3,0,116,81
24.79,Mike,Reilly,25,Montreal Canadiens,D,4,18,5,2,106,60
24.67,Scott,Mayfield,26,New York Islanders,D,3,18,1,0,106,125
24.57,Christian,Folin,27,Philadelphia Flyers,D,1,12,0,4,77,174
24.06,Travis,Sanheim,22,Philadelphia Flyers,D,4,20,4,0,126,52
23.94,Marco,Scandella,28,Buffalo Sabres,D,6,15,2,-3,132,91
23.93,Gustav,Forsling,22,Chicago Blackhawks,D,5,15,5,-2,147,54
23.88,Derek,Forbort,26,Los Angeles Kings,D,3,18,1,0,86,139
23.56,Ben,Chiarot,27,Winnipeg Jets,D,3,12,1,2,88,141
23.17,Alex,Biega,30,Vancouver Canucks,D,0,10,0,0,110,193
23.0,Andreas,Borgman,23,Toronto Maple Leafs,D,2,12,1,0,89,170
22.84,Brandon,Davidson,27,Chicago Blackhawks,D,4,10,0,1,98,139
22.71,Michal,Kempny,28,Washington Capitals,D,3,11,0,4,113,97
22.56,Dan,Girardi,34,Tampa Bay Lightning,D,1,13,0,4,85,142
22.06,Mark,Pysyk,26,Florida Panthers,D,5,15,0,0,103,100
21.62,Roman,Polak,32,Dallas Stars,D,0,10,0,2,72,197
21.39,Nathan,Beaulieu,26,Buffalo Sabres,D,5,16,3,0,99,70
21.36,Fredrik,Claesson,26,New York Rangers,D,1,11,0,1,81,178
21.34,MacKenzie,Weegar,24,Florida Panthers,D,2,12,0,2,93,136
21.25,Adam,Pelech,24,New York Islanders,D,3,16,2,-2,113,110
21.19,John,Gilmour,25,New York Rangers,D,4,9,1,-1,160,77
20.95,Ben,Lovejoy,34,New Jersey Devils,D,1,6,0,8,86,116
20.27,Oscar,Fantenberg,27,Los Angeles Kings,D,2,14,5,-3,107,118
20.18,Chad,Ruhwedel,28,Pittsburgh Penguins,D,2,11,0,2,110,112
20.09,Jordie,Benn,31,Montreal Canadiens,D,3,11,0,3,94,104
19.82,Eric,Gryba,30,New Jersey Devils,D,0,7,0,2,70,197
19.22,Robert,Bortuzzo,29,St. Louis Blues,D,3,8,0,1,88,139
18.95,Jonas,Brodin,25,Minnesota Wild,D,5,15,3,0,103,48
18.9,Haydn,Fleury,22,Carolina Hurricanes,D,2,13,1,1,106,98
18.89,Dion,Phaneuf,33,Los Angeles Kings,D,2,18,6,-12,129,154
18.86,Ryan,Murray,25,Columbus Blue Jackets,D,4,19,3,0,86,59
18.85,Ron,Hainsey,37,Toronto Maple Leafs,D,2,12,0,5,75,99
18.84,Kevin,Connauton,28,Arizona Coyotes,D,4,11,0,-6,135,135
18.64,Cody,Ceci,25,Ottawa Senators,D,4,15,2,-10,140,137
18.45,Travis,Hamonic,28,Calgary Flames,D,4,13,0,-1,111,92
17.52,Jack,Johnson,31,Pittsburgh Penguins,D,3,10,0,-1,97,126
17.27,Jan,Rutta,28,Chicago Blackhawks,D,3,20,3,-2,112,47
17.15,Kris,Russell,31,Edmonton Oilers,D,2,14,1,1,90,94
17.03,Slater,Koekkoek,24,Tampa Bay Lightning,D,4,10,1,0,106,80
16.95,Brendan,Smith,29,New York Rangers,D,3,10,0,-1,109,108
16.91,Christian,Djoos,24,Washington Capitals,D,3,15,2,3,89,45
16.75,Nikita,Zaitsev,27,Toronto Maple Leafs,D,2,17,2,-7,94,152
16.19,Danny,DeKeyser,28,Detroit Red Wings,D,4,10,0,0,89,98
15.83,Andrej,Sekera,32,Edmonton Oilers,D,2,16,4,0,89,61
15.8,Alex,Goligoski,33,Arizona Coyotes,D,6,22,6,-16,120,107
15.78,Nick,Seeler,25,Minnesota Wild,D,1,11,1,5,73,83
15.7,Patrik,Nemeth,26,Colorado Avalanche,D,2,13,0,1,92,91
15.57,Adam,McQuaid,32,New York Rangers,D,1,8,0,0,66,166
15.39,Madison,Bowey,23,Washington Capitals,D,2,18,2,-1,84,79
14.71,Braydon,Coburn,33,Tampa Bay Lightning,D,1,10,0,3,85,95
14.46,Xavier,Ouellet,25,Montreal Canadiens,D,3,11,1,-3,115,88
14.43,Karl,Alzner,30,Montreal Canadiens,D,2,10,0,0,74,124
14.41,Brooks,Orpik,38,Washington Capitals,D,1,5,0,-2,49,210
14.41,Victor,Mete,20,Montreal Canadiens,D,3,12,4,3,89,21
14.37,Casey,Nelson,26,Buffalo Sabres,D,3,12,1,-1,104,72
14.2,Luke,Schenn,29,Anaheim Ducks,D,0,8,0,-8,78,242
13.7,Ian,McCoshen,23,Florida Panthers,D,1,8,0,0,76,138
13.67,Erik,Gudbranson,26,Vancouver Canucks,D,1,9,0,-6,93,181
12.95,Dmitry,Kulikov,28,Winnipeg Jets,D,1,12,1,1,74,95
12.74,Luca,Sbisa,28,New York Islanders,D,0,12,1,-1,79,123
12.6,Matt,Irwin,31,Nashville Predators,D,1,8,0,0,89,114
12.6,Brett,Kulak,24,Montreal Canadiens,D,3,10,0,2,87,58
12.44,Ben,Harpur,23,Ottawa Senators,D,1,7,0,1,63,134
12.01,Marcus,Pettersson,22,Anaheim Ducks,D,2,10,2,1,77,72
11.92,Kurtis,MacDermid,24,Los Angeles Kings,D,0,9,0,-1,59,159
11.88,David,Schlemko,31,Montreal Canadiens,D,2,10,2,0,90,68
11.84,Mark,Barberio,28,Colorado Avalanche,D,3,15,2,-2,93,49
11.72,Ryan,Murphy,25,Minnesota Wild,D,3,12,2,0,99,34
11.68,Jon,Merrill,26,Vegas Golden Knights,D,2,9,0,1,80,86
10.97,Ben,Hutton,25,Vancouver Canucks,D,5,16,3,-11,129,63
10.77,Sebastian,Aho,22,New York Islanders,D,3,10,2,-1,99,46
10.39,Tucker,Poolman,25,Winnipeg Jets,D,2,7,0,1,92,71
10.36,Marc,Methot,33,Dallas Stars,D,0,4,0,0,56,161
10.24,Andrew,MacDonald,32,Philadelphia Flyers,D,2,15,0,-1,89,56
10.15,Steven,Kampfer,30,Boston Bruins,D,0,4,0,-2,89,146
9.89,Nick,Jensen,28,Detroit Red Wings,D,4,15,1,-8,104,80
9.84,Mirco,Mueller,23,New Jersey Devils,D,3,13,0,0,71,57
9.62,Julius,Honka,23,Dallas Stars,D,3,12,1,-3,105,49
9.56,Deryk,Engelland,36,Vegas Golden Knights,D,1,9,0,-4,91,123
9.52,Scott,Harrington,25,Columbus Blue Jackets,D,1,7,0,1,79,90
9.34,Andrej,Sustr,28,Anaheim Ducks,D,4,11,0,0,85,34
8.9,Gustav,Olofsson,24,Montreal Canadiens,D,2,13,2,1,54,53
8.54,Dan,Hamhuis,36,Nashville Predators,D,0,13,0,1,61,84
8.52,Anton,Lindholm,24,Colorado Avalanche,D,0,7,0,-1,47,150
8.33,Matt,Hunwick,33,Buffalo Sabres,D,1,9,0,-2,84,97
8.26,Anthony,Bitetto,28,Nashville Predators,D,0,10,0,0,62,106
7.66,Yannick,Weber,30,Nashville Predators,D,0,7,0,1,78,87
7.5,Jakub,Jerabek,27,St. Louis Blues,D,1,12,0,-3,80,90
7.16,Trevor,Daley,35,Detroit Red Wings,D,3,10,0,-2,99,39
6.93,Niklas,Kronwall,37,Detroit Red Wings,D,0,17,6,-8,71,92
6.89,Christopher,Tanev,29,Vancouver Canucks,D,2,14,0,-1,71,49
6.59,Jonathan,Ericsson,34,Detroit Red Wings,D,0,7,0,-2,66,123
6.58,Andy,Greene,36,New Jersey Devils,D,1,7,0,-1,76,88
6.04,Rob,O'Gara,25,New York Rangers,D,0,6,0,0,61,106
5.36,Jay,Bouwmeester,35,St. Louis Blues,D,1,9,0,-3,93,71
5.04,Carl,Gunnarsson,32,St. Louis Blues,D,1,4,0,3,64,57
3.17,Niklas,Hjalmarsson,31,Arizona Coyotes,D,2,13,0,-2,62,40
1.27,Marc,Staal,31,New York Rangers,D,1,7,0,-6,77,93
0.0,Nate,Prosser,32,Minnesota Wild,D,0,4,0,0,42,80
